layer,path,height,width,mean,std,min,max,zero_variance,readable
sup,J:\Rasta dataset\1_RETINORM\1ORVA79\sup OS.bmp,1024,1024,123.0654525756836,67.91468811035156,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PEAN90\sup OD.bmp,1024,1024,124.28955078125,69.49632263183594,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PEAN90\sup OS.bmp,1024,1024,123.1135025024414,69.03003692626953,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PEAU98\sup OD.bmp,1024,1024,98.82408142089844,70.38706970214844,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PEAU98\sup OS.bmp,1024,1024,118.27640533447266,68.98783874511719,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PENA87\sup OD.bmp,1024,1024,107.70184326171875,69.43921661376953,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PENA87\sup OS.bmp,1024,1024,114.64254760742188,69.06919860839844,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PLJO50\sup OD.bmp,1024,1024,92.07503509521484,60.5764045715332,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PLJO50\sup OS.bmp,1024,1024,110.1358413696289,68.0559310913086,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1PRAD93\sup OD.bmp,1024,1024,99.0260238647461,73.08209228515625,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1REAN62\sup OD.bmp,1024,1024,108.36756896972656,71.92797088623047,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1REAN62\sup OS.bmp,1024,1024,103.43968963623047,60.7130012512207,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1ROCH50\sup OD.bmp,1024,1024,100.82889556884766,77.35881042480469,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1ROCH50\sup OS.bmp,1024,1024,100.07182312011719,71.9869384765625,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1SOJU97\sup OD.bmp,1024,1024,113.45713806152344,71.04048156738281,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1SOJU97\sup OS.bmp,1024,1024,114.26004028320312,72.5208511352539,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1TIKA83\sup OD.bmp,1024,1024,118.34415435791016,70.0569076538086,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1TIKA83\sup OS.bmp,1024,1024,120.95133972167969,69.95286560058594,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1TRGE50\sup OS.bmp,1024,1024,109.81332397460938,69.08187103271484,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VAJU01\sup OD.bmp,1024,1024,104.12550354003906,74.00390625,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VAJU01\sup OS.bmp,1024,1024,109.4464111328125,72.7132339477539,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VECY76\sup OD.bmp,1024,1024,112.88005828857422,70.66266632080078,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VECY76\sup OS.bmp,1024,1024,112.16478729248047,74.78720092773438,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VELI43\sup OD.bmp,1024,1024,79.32527923583984,53.57523727416992,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VELI43\sup OS.bmp,1024,1024,108.19755554199219,60.68737030029297,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VIRA55\sup OS.bmp,1024,1024,92.18598937988281,64.9826889038086,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VOCL54\sup OD.bmp,1024,1024,105.8209228515625,66.63688659667969,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VUJE00\sup OD.bmp,1024,1024,107.16539764404297,75.90862274169922,0.0,255.0,False,True
sup,J:\Rasta dataset\1_RETINORM\1VUJE00\sup OS.bmp,1024,1024,118.21853637695312,71.94377899169922,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2AGDA70\sup OD.bmp,1024,1024,101.57329559326172,70.85455322265625,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2AGDA70\sup OS.bmp,1024,1024,86.87493133544922,68.56675720214844,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2ANDE74\sup OD.bmp,1024,1024,105.7561264038086,55.41758346557617,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2ANDE74\sup OS.bmp,1024,1024,116.03106689453125,59.00431823730469,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BAAN74\sup OD.bmp,1024,1024,112.37600708007812,71.43141174316406,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BAAN74\sup OS.bmp,1024,1024,117.62300872802734,70.67131805419922,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BABE70\sup OD.bmp,1024,1024,111.04254150390625,72.55935668945312,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BABE70\sup OS.bmp,1024,1024,113.85429382324219,66.46017456054688,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BASO70\sup OD.bmp,1024,1024,107.79017639160156,61.00315856933594,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BASO70\sup OS.bmp,1024,1024,112.6500244140625,62.44442367553711,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BECL75\sup OD.bmp,1024,1024,121.05360412597656,73.09281158447266,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BECL75\sup OS.bmp,1024,1024,125.58443450927734,71.91182708740234,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BEMA58\sup OD.bmp,1024,1024,111.7917709350586,74.58743286132812,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BEMA58\sup OS.bmp,1024,1024,121.40391540527344,74.15838623046875,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BENI75\sup OD.bmp,1024,1024,114.70376586914062,69.56300354003906,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BENI75\sup OS.bmp,1024,1024,117.32966613769531,71.78596496582031,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BIFR66\sup OD.bmp,1024,1024,119.03962707519531,73.55828094482422,0.0,255.0,False,True
sup,J:\Rasta dataset\2_ORNET\2BIFR66\sup OS.bmp,1024,1024,118.8034439086914,72.42011260986328,0.0,255.0,False,True
